,Unnamed: 0,Unnamed: 0.1,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date,total_pronouns,female_mentions,male_mentions,total,male_skewness,male_skewness_log
453,453,453,PG16706_text,A Sixth-Century Fragment of the Letters of Pliny the Younger: A Study of Six Leaves of an Uncial Manuscript Preserved; in the Pierpont Morgan Library New York,"Rand, Edward Kennard",1871.0,1945.0,['en'],115,"{'Pliny, the Younger -- Correspondence', 'Manuzio, Aldo, 1449 or 50-1515', 'Manuscripts, Latin -- Facsimiles', 'Paleography, Latin'}",edward,M,1921,1170,1,256,257,256.0,5.545177444479562
454,454,454,PG1671_text,When a Man Marries,"Rinehart, Mary Roberts",1876.0,1958.0,['en'],43,"{'Marriage -- Fiction', 'Quarantine -- Fiction'}",mary,F,1926,8861,1042,1707,2749,1.6381957773512477,0.49359550048112844
455,455,455,PG1678_text,An Historical Mystery (The Gondreville Mystery),"Balzac, Honoré de",1799.0,1850.0,['en'],27,"{'Historical fiction', 'Detective and mystery stories', 'French fiction -- Translations into English'}",honor,F,1849,7566,955,2102,3057,2.201047120418848,0.7889332109561662
456,456,456,PG16790_text,Anglo-Saxon Britain,"Allen, Grant",1848.0,1899.0,['en'],83,"{'Great Britain -- History -- Anglo-Saxon period, 449-1066', 'Anglo-Saxons'}",grant,M,1898,3021,40,769,809,19.225,2.9562115153917077
457,457,457,PG1680_text,At the Sign of the Cat and Racket,"Balzac, Honoré de",1799.0,1850.0,['en'],123,"{'France -- Social life and customs -- 19th century -- Fiction', 'French fiction -- Translations into English'}",honor,F,1849,2231,607,511,1118,0.841845140032949,-0.17215920085579378
458,458,458,PG1683_text,Honorine,"Balzac, Honoré de",1799.0,1850.0,['en'],47,{'French fiction -- Translations into English'},honor,F,1849,4069,518,543,1061,1.0482625482625483,0.04713407767445239
459,459,459,PG16847_text,"Hinduism and Buddhism, An Historical Sketch, Vol. 3","Eliot, Charles",1862.0,1931.0,['en'],118,"{'Buddhism', 'Asia -- Religion', 'Hinduism'}",charles,M,1912,8510,87,2020,2107,23.2183908045977,3.144944671740667
460,460,460,PG1685_text,The Mystery of the Yellow Room,"Leroux, Gaston",1868.0,1927.0,['en'],427,"{'Detective and mystery stories', 'Rouletabille, Joseph (Fictitious character) -- Fiction', 'Reporters and reporting -- Fiction'}",gaston,M,1918,9908,693,2785,3478,4.0187590187590185,1.390973153171481
461,461,461,PG16867_text,The Adventures of Odysseus and The Tales of Troy,"Colum, Padraic",1881.0,1972.0,['en'],144,"{'Odysseus, King of Ithaca (Mythological character) -- Juvenile literature', 'Mythology, Greek -- Juvenile literature', 'Trojan War -- Juvenile literature'}",padraic,M,1931,7544,537,2392,2929,4.454376163873371,1.4938870205616577
462,462,462,PG1686_text,The Secret of the Night,"Leroux, Gaston",1868.0,1927.0,['en'],79,"{'Attempted assassination -- Fiction', 'Generals -- Fiction', 'Detective and mystery stories', 'Rouletabille, Joseph (Fictitious character) -- Fiction'}",gaston,M,1918,13953,1543,3485,5028,2.258587167854828,0.8147394708314634
463,463,463,PG16879_text,Some One Like You,"Foley, James W. (James William)",1874.0,1939.0,['en'],7,{'Love poetry'},james,M,1924,68,1,1,0,1.0,0.0
464,464,464,PG1688_text,The People of the Abyss,"London, Jack",1876.0,1916.0,['en'],518,"{'Poor -- England -- London', 'London (England) -- Social conditions'}",jack,M,1926,6188,389,1064,1453,2.7352185089974292,1.0062113262831434
465,465,465,PG1692_text,1492,"Johnston, Mary",1870.0,1936.0,['en'],92,"{'Columbus, Christopher -- Fiction', 'Explorers -- Fiction', 'America -- Discovery and exploration -- Fiction', 'Admirals -- Fiction', 'Discoveries in geography -- Fiction', 'Historical fiction', 'Jewish sailors -- Fiction', 'Biographical fiction', 'Sea stories'}",mary,F,1920,11997,269,2812,3081,10.453531598513012,2.3469398733287163
466,466,466,PG16932_text,The Religious Life of the Zuñi Child,"Stevenson, Matilda Coxe",1850.0,1915.0,['en'],6,"{'Indian children -- North America', 'Zuni Indians -- Religion'}",matilda,F,1900,690,58,197,255,3.396551724137931,1.2227607181915692
467,467,467,PG1693_text,Dangerous Days,"Rinehart, Mary Roberts",1876.0,1958.0,['en'],89,"{'United States -- Social life and customs -- 20th century -- Fiction', 'World War, 1914-1918 -- Fiction', 'Businessmen -- Fiction', 'Families -- Fiction'}",mary,F,1926,20162,4308,5986,10294,1.3895078922934077,0.32894965013636507
468,468,468,PG16947_text,Wyandot Government: A Short Study of Tribal Society: Bureau of American Ethnology,"Powell, John Wesley",1834.0,1902.0,['en'],23,{'Wyandot Indians'},john,M,1884,207,18,74,92,4.111111111111111,1.413693335308005
469,469,469,PG17001_text,An Elementary Course in Synthetic Projective Geometry,"Lehmer, Derrick Norman",1868.0,1938.0,['en'],66,"{'Geometry, Projective'}",derrick,M,1918,1084,1,123,123,123.0,4.812184355372417
470,470,470,PG1701_text,The Story of Waitstill Baxter,"Wiggin, Kate Douglas Smith",1856.0,1923.0,['en'],24,"{'New England -- Social life and customs -- 19th century -- Fiction', 'Sisters -- Fiction', 'Fathers and daughters -- Fiction'}",kate,F,1906,10613,2060,1862,3922,0.903883495145631,-0.10105480394661441
471,471,471,PG17024_text,"The Last Journals of David Livingstone, in Central Africa, from 1865 to His Death, Volume II (of  2), 1869-1873: Continued By A Narrative Of His Last Moments And Sufferings, Obtained From His Faithful Servants Chuma And Susi","Livingstone, David",1813.0,1873.0,['en'],86,"{'Africa, Central -- Description and travel'}",david,M,1863,9077,199,1919,2118,9.64321608040201,2.2662546712832072
472,472,472,PG17042_text,"Illustration of the Method of Recording Indian Languages: From the First Annual Report of the Bureau of Ethnology, Smithsonian Institution","Riggs, Stephen Return",1812.0,1883.0,['en'],15,{'Indians of North America -- Languages'},stephen,M,1862,302,12,92,104,7.666666666666667,2.0368819272610397
473,473,473,PG1704_text,Pierrette,"Balzac, Honoré de",1799.0,1850.0,['en'],24,{'French fiction -- Translations into English'},honor,F,1849,5529,1646,1059,2705,0.6433778857837181,-0.44102303563560863
