,Unnamed: 0,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,name,gender,publish_date
9454,9454,PG65048_text,"""Lexington"": A Pageant-Drama of the American Freedom","Howard, Sidney Coe",1891.0,1939.0,['en'],3,"{'United States -- History -- Drama', 'Lexington, Battle of, Lexington, Mass., 1775 -- Drama', 'Pageants -- Massachusetts -- Lexington'}",sidney,M,1941
9455,9455,PG65049_text,"The Evolution Theory, Vol. 2 of 2","Weismann, August",1834.0,1914.0,['en'],31,{'Evolution (Biology)'},august,M,1884
9456,9456,PG65050_text,Brief for the higher education of the negro,"Miller, Kelly",1863.0,1939.0,['en'],2,{'African Americans -- Education'},kelly,F,1913
9457,9457,PG65053_text,Meet Me in Tomorrow,"Geier, Chester S.",1921.0,1990.0,['en'],22,"{'Short stories', 'Man-woman relationships -- Fiction', 'Science fiction', 'Time travel -- Fiction'}",chester,M,1971
9458,9458,PG65060_text,"Wit, Humor, and Shakspeare: Twelve Essays","Weiss, John",1818.0,1879.0,['en'],34,"{'Shakespeare, William, 1564-1616 -- Characters', 'Shakespeare, William, 1564-1616 -- Humor'}",john,M,1868
9459,9459,PG65061_text,The Boston cooking-school cook book,"Farmer, Fannie Merritt",1857.0,1915.0,['en'],135,"{'Cooking, American', 'Cooking'}",fannie,F,1907
9460,9460,PG65064_text,The Old Ones,"Curtis, Betsy",1917.0,2002.0,['en'],37,"{'Space flight -- Fiction', 'Longevity -- Fiction', 'Science fiction', 'Older people -- Fiction'}",betsy,F,1967
9461,9461,PG65065_text,Base-ball Ballads,"Rice, Grantland",1880.0,1954.0,['en'],23,{'Baseball -- Poetry'},grantland,M,1930
9462,9462,PG65067_text,It's Raining Frogs!,"Marlowe, Stephen",1928.0,2008.0,['en'],17,"{'Parapsychology -- Fiction', 'Science fiction', 'Husband and wife -- Fiction'}",stephen,M,1978
9463,9463,PG65068_text,"Terrible Tractoration, and Other Poems","Fessenden, Thomas Green",1771.0,1837.0,['en'],14,"{'Tractors, Metallic', 'American poetry -- 19th century', 'Perkins, Elisha, 1741-1799'}",thomas,M,1821
